 #  energy  xx  yy  zz  xy  xz  yz
         3.6660         1.2955         0.6162         0.0000        -0.6328         0.0000         0.0000
         3.6661         1.3316         0.5765         0.0000        -0.6116         0.0000         0.0000
         3.6661         1.3315         0.5765         0.0000        -0.6115         0.0000         0.0000
         3.6662         0.7592         0.5776         0.0000         0.5171         0.0000         0.0000
         3.6662         0.7592         0.5776         0.0000         0.5171         0.0000         0.0000
         3.6663         0.1739         1.1639         0.0000         0.1808         0.0000         0.0000
         3.6663         0.8962         0.6155         0.0000         0.3854         0.0000         0.0000
         3.6663         0.1739         1.1639         0.0000         0.1808         0.0000         0.0000
         3.6663         0.8962         0.6155         0.0000         0.3854         0.0000         0.0000
         3.6663         0.3496         1.1641         0.0000         0.0697         0.0000         0.0000
         3.6664         0.3496         1.1641         0.0000         0.0697         0.0000         0.0000
         3.6802         0.0252         0.0007         0.0000        -0.0041         0.0000         0.0000
         3.6802         0.0204         0.0127         0.0000        -0.0076         0.0000         0.0000
         3.6802         0.0054         0.0225         0.0000         0.0095         0.0000         0.0000
         3.6802         0.0176         0.0023         0.0000        -0.0016         0.0000         0.0000
         3.6804         0.0146         0.0006         0.0000         0.0029         0.0000         0.0000
         3.6804         0.0381         0.0012         0.0000        -0.0046         0.0000         0.0000
         3.7012         0.0000         0.0001         0.0000         0.0000         0.0000         0.0000
         3.7013         0.0000         0.0001         0.0000         0.0000         0.0000         0.0000
         3.7014         0.0001         0.0001         0.0000         0.0000         0.0000         0.0000
         3.7014         0.0001         0.0001         0.0000         0.0000         0.0000         0.0000
         3.7014         0.0001         0.0001         0.0000         0.0000         0.0000         0.0000
         3.7014         0.0001         0.0001         0.0000         0.0000         0.0000         0.0000
         3.7015         0.0001         0.0000         0.0000         0.0000         0.0000         0.0000
         3.7015         0.0001         0.0000         0.0000         0.0000         0.0000         0.0000
         3.7018         0.0001         0.0001         0.0000        -0.0000         0.0000         0.0000
         3.7018         0.0001         0.0000         0.0000        -0.0000         0.0000         0.0000
         3.7018         0.0001         0.0001         0.0000        -0.0001         0.0000         0.0000
         3.7018         0.0001         0.0000         0.0000        -0.0000         0.0000         0.0000
         3.7252         0.0017         0.0006         0.0000        -0.0010         0.0000         0.0000
         3.7716         0.8027         0.3355         0.0000         0.3454         0.0000         0.0000
         3.7716         0.8027         0.3355         0.0000         0.3455         0.0000         0.0000
         3.7718         0.1540         0.9829         0.0000        -0.0276         0.0000         0.0000
         3.7718         0.1540         0.9829         0.0000        -0.0275         0.0000         0.0000
         3.7718         1.9772         0.3361         0.0000        -0.3972         0.0000         0.0000
         3.7718         1.9772         0.3361         0.0000        -0.3972         0.0000         0.0000
         3.7718         0.5707         1.2298         0.0000         0.2808         0.0000         0.0000
         3.7718         1.0902         1.2299         0.0000        -0.9088         0.0000         0.0000
         3.7718         0.5707         1.2297         0.0000         0.2809         0.0000         0.0000
         3.7719         0.8152         0.9836         0.0000         0.4216         0.0000         0.0000
         3.7719         1.0902         1.2298         0.0000        -0.9088         0.0000         0.0000
         3.7719         0.8153         0.9836         0.0000         0.4216         0.0000         0.0000
         3.9210         0.0418         0.0001         0.0000        -0.0016         0.0000         0.0000
         3.9210         0.7467         2.0391         0.0000        -1.2339         0.0000         0.0000
         3.9210         0.6240         1.7081         0.0000        -1.0324         0.0000         0.0000
         3.9210         0.1394         0.0001         0.0000        -0.0043         0.0000         0.0000
         3.9212         0.0407         0.0521         0.0000         0.0440         0.0000         0.0000
         3.9212         0.1589         0.4331         0.0000         0.2406         0.0000         0.0000
         4.1062         0.0993         0.1805         0.0000         0.1117         0.0000         0.0000
         4.1062         0.1534         0.4413         0.0000         0.2448         0.0000         0.0000
         4.1062         0.0338         0.0020         0.0000         0.0082         0.0000         0.0000
         4.1063         0.4504         0.0122         0.0000         0.0726         0.0000         0.0000
         4.1063         0.0532         0.3825         0.0000        -0.1375         0.0000         0.0000
         4.1063         0.0287         0.3524         0.0000        -0.1005         0.0000         0.0000
         4.1193         0.0151         0.4915         0.0000         0.0860         0.0000         0.0000
         4.1193         0.1499         0.3057         0.0000         0.1117         0.0000         0.0000
         4.1193         0.1365         0.5572         0.0000        -0.0376         0.0000         0.0000
         4.1193         0.1052         0.4992         0.0000        -0.0644         0.0000         0.0000
         4.1194         0.5340         0.1021         0.0000         0.1328         0.0000         0.0000
         4.1194         0.5712         0.1486         0.0000         0.1008         0.0000         0.0000
